dir,paket,status,version
a,alva
a,android-studio
a,atom
b,bluefish
c,  
d,  
e,  
f,  
g,gbilling-client  
g,gbilling-server  
g,gcolor3
g,geany
g,google-chrome
g,gravit
h,  
i,inkscape
j,  
k,kdenlive
l,  
m,  
n,  
o,  
p,pinta
p,postman
p,pycharm
q,  
r,  
s,sk1
s,steam
t,teamviewer
u,uget
v,virtualbox
v,visual-studio-code
w,wps-office
x,xampp
x,xtreme-download-manager
y,  
z,  

